7 devices found
This HID Device has 514 elements.
Element   0 Collection  Usage   1  UsagePage 65280
Element   1 Button      Usage  -1  UsagePage 65280
Element   2 Button      Usage  -1  UsagePage 65280
Element   3 Button      Usage  -1  UsagePage 65280
Element   4 Button      Usage  -1  UsagePage 65280
Element   5 Button      Usage  -1  UsagePage 65280
Element   6 Button      Usage  -1  UsagePage 65280
Element   7 Button      Usage  -1  UsagePage 65280
Element   8 Button      Usage  -1  UsagePage 65280
Element   9 Button      Usage  -1  UsagePage 65280
Element  10 Button      Usage  -1  UsagePage 65280
Element  11 Button      Usage  -1  UsagePage 65280
Element  12 Button      Usage  -1  UsagePage 65280
Element  13 Button      Usage  -1  UsagePage 65280
Element  14 Button      Usage  -1  UsagePage 65280
Element  15 Button      Usage  -1  UsagePage 65280
Element  16 Button      Usage  -1  UsagePage 65280
Element  17 Button      Usage  -1  UsagePage 65280
Element  18 Button      Usage  -1  UsagePage 65280
Element  19 Button      Usage  -1  UsagePage 65280
Element  20 Button      Usage  -1  UsagePage 65280
Element  21 Button      Usage  -1  UsagePage 65280
Element  22 Button      Usage  -1  UsagePage 65280
Element  23 Button      Usage  -1  UsagePage 65280
Element  24 Button      Usage  -1  UsagePage 65280
Element  25 Button      Usage  -1  UsagePage 65280
Element  26 Button      Usage  -1  UsagePage 65280
Element  27 Button      Usage  -1  UsagePage 65280
Element  28 Button      Usage  -1  UsagePage 65280
Element  29 Button      Usage  -1  UsagePage 65280
Element  30 Button      Usage  -1  UsagePage 65280
Element  31 Button      Usage  -1  UsagePage 65280
Element  32 Button      Usage  -1  UsagePage 65280
Element  33 Button      Usage  -1  UsagePage 65280
Element  34 Button      Usage  -1  UsagePage 65280
Element  35 Button      Usage  -1  UsagePage 65280
Element  36 Button      Usage  -1  UsagePage 65280
Element  37 Button      Usage  -1  UsagePage 65280
Element  38 Button      Usage  -1  UsagePage 65280
Element  39 Button      Usage  -1  UsagePage 65280
Element  40 Button      Usage  -1  UsagePage 65280
Element  41 Button      Usage  -1  UsagePage 65280
Element  42 Button      Usage  -1  UsagePage 65280
Element  43 Button      Usage  -1  UsagePage 65280
Element  44 Button      Usage  -1  UsagePage 65280
